V1,V8,V9,condition,desc,support,query_1,query_2,query_3,query_4,query_5,query_1_quant,query_2_quant,query_3_quant,query_4_quant,query_5_quant,word_homeless,word_welfare,word_needy,word_lazy,word_filler2,word_filler5,word_filler6,word_charity,word_poor,word_filler12,word_burden,word_aid,word_filler11,word_deserve,stigmaO_1,stigmaO_2,stigmaO_3,stigmaO_4,stigmaO_5,attncheck,age,gender,income,edu,race,polit,polit_1,polit_2
R_1jVx1fH1OgUYbc2,6/20/17 10:29,6/20/17 10:34,security,social security for all,3,Costly,Taxpayer dependence ,Inconvinience,Fosters laziness ,,1,2,2,1,,Homeless,Welcome,Needy,Lazy,Place,Sun,Bake,Charlie,door,Phone,Burlap,Add,Song,Deserve,2,6,4,4,2,6,20,Male,"Less than $5,000",4-year college degree,Asian,Democrat,Moderately liberal,Slightly       liberal
R_u2m8xUVON7bOOkN,6/20/17 10:29,6/20/17 10:35,control,basic income,5,fair,easy,simple,convenient,,1,1,1,1,,homeless,welcome,needy,cozy,place,sun,bake,charade,poor,phone,buried,add,sing,deserve,6,2,2,6,2,2,30,Male,"$25,000 to $29,999",Some college (no degree),Black,Democrat,Strongly liberal,Strongly liberal
R_puzdtqxaCh1fPHz,6/20/17 10:29,6/20/17 10:35,security,social security for all,5,It's fair,It may be expensive,May reduce further costs from poverty,Could help a lot of people,,1,2,1,1,,HOMEWORK,WELCOME,NANDY,LAZY,PLAYS,SUP,BAKE,CHARITY,BOAR,PHOTO,BURGER,AID,SING,DESERVE,5,3,2,6,2,2,22,Female,"$30,000 to $34,999",4-year college degree,White,Democrat,Strongly liberal,Moderately liberal
R_3siZcmV0VSXrnDB,6/20/17 10:29,6/20/17 10:35,security,social security for all,2,it promotes laziness,too much money,work force would go down,,,2,2,2,,,homeroom,welcome,needy,lazy,place,sud,bike,charred,door,PHONE,BURDEN,AID,SONG,RESERVE,3,6,7,1,6,2,25,Male,"$50,000 to $59,999",4-year college degree,White,Democrat,Moderately liberal,Moderately liberal
R_11XcaVtDe52jHUv,6/20/17 10:30,6/20/17 10:36,freedom,financial freedom,1,it isnt good,i dont like it,it wont help,it is boring,it doesnt address things,2,2,2,2,2,HOMETOWN,WELLNES,NEEDY,COZY,PLANK,SUN,BUKU,CHARADE,DOOR,PHOTO,BURGER,AND,SONG,DESERVE,5,5,4,4,4,2,27,Male,"$5,001-$6,999",Some college (no degree),White,Democrat,Moderately liberal,Strongly liberal
R_3pbs1NtK36wfB85,6/20/17 10:30,6/20/17 10:36,control,basic income,6,Everyone should be able to afford basic needs.,This is fair to everyone.,"If you wish to live a more luxurious life, you can make more money to buy more things.",This will help many people.,This will prevent many problems like homelessness.,1,1,1,1,1,homemade,welcome,nerdy,lazy,plant,sun,bake,charity,door,PHOTO,BURGER,AID,SING,RESERVE,7,1,1,7,5,2,27,Female,"$40,000 to $49,999",Some college (no degree),White,Democrat,Slightly       liberal,Slightly       liberal
R_ZHJpBvhb9tDhTCV,6/20/17 10:29,6/20/17 10:36,freedom,financial freedom,3,I like that it takes individual needs into account.,"I think it's just a paycheck for people, they'll abuse the system.",I think that there's no way to moderate or manage a program like this.,The potential for abuse outweighs the positives.,"We need government overhaul, but this isn't the answer.",1,2,2,2,2,HOMELESS,WELCOME,NEEDY,LAZY,PLACE,SUN,BAKE,CHARLES,DOOR,PHOTO,BURDEN,AND,SANG,DESERVE,1,7,7,2,7,2,32,Male,"$30,000 to $34,999",Some college (no degree),White,Republican,Moderately conservative,Moderately conservative
R_x58srmT18Fx8NdT,6/20/17 10:29,6/20/17 10:36,control,basic income,2,I would like to have this money,this is unrealistic,way to expensive,sounds like communism,is too idealistic,1,2,2,2,2,HOMELESS,WELCOME,NEEDY,LAZY,PLACE,SUE,BIKE,CHARITY,DOOR,PHOTO,BURGER,AID,SONG,DESERVE,5,6,6,3,7,2,26,Male,"$25,000 to $29,999",4-year college degree,White,Republican,Slightly conservative,Slightly conservative
R_1PT3tOqHvq6doW0,6/20/17 10:29,6/20/17 10:36,control,basic income,7,it's for the good of the nation,it assures people can meet basic needs,it assures people can afford to pay for housing,,,1,1,1,,,HOMELAND,WELCOME,NEEDY,LAZY,PLACE,SUM,BAKE,CHARTER,DOOR,PHONE,BURNER,ADD,SING,RESERVE,6,2,1,6,7,2,30,Male,"$25,000 to $29,999",Some college (no degree),White,Democrat,Moderately liberal,Moderately liberal
R_1M0ONJ0aO7WsNsl,6/20/17 10:30,6/20/17 10:36,control,basic income,6,This will be an inevitable future if we keep advancing technology as fast as we do,It will help people maintain some standard of living when jobs become automated,Some could see this as a reason to not get a job at all,,,1,1,2,,,HOMEWARD,WELCOME,NEEDY,LAZY,PLACE,SUE,BAKE,CHARIOT,DOOR,PHOTO,BURGER,AID,SING,RESERVE,5,5,5,6,6,2,23,Male,"$50,000 to $59,999",4-year college degree,Black,Democrat,Moderately liberal,Moderately liberal
